Tanggal;Hardness;Alkalinity;Carbonate Root;Nitrate;Nitrite;Free clorine;Total Clorine;Dissolved Oxygen;Temperature;pH
10 August 2023;100;120;20;50;10;3;0;4.8;25.5;7.8
11 August 2023;250;120;40;100;10;3;0;4.8;26.3;7.8
12 August 2023;100;120;20;50;10;3;0;4.8;25.7;7.8
13 August 2023;250;120;20;50;10;3;0;4.8;25.4;8.4
14 August 2023;250;120;40;100;10;3;0;4.8;26.1;7.8
15 August 2023;100;120;20;100;10;3;0;4.8;27.2;8.4
16 August 2023;100;120;20;50;10;3;0;4.8;26.8;8.4
17 August 2023;250;120;40;100;10;3;0;4.8;26.3;8.4
18 August 2023;100;120;20;50;10;3;0;4.8;26.2;8.4
19 August 2023;250;120;40;50;10;3;0;4.8;27.1;7.8
20 August 2023;250;100;40;100;10;3;0;4.8;26.5;7.8
21 August 2023;100;120;20;50;10;3;0;4.8;25.9;8.4
22 August 2023;250;80;40;50;10;3;0;4.8;26;7.8
23 August 2023;250;120;40;50;10;3;0;4.8;26;7.8
24 August 2023;250;120;40;100;10;3;0;4.8;26;7.8
25 August 2023;100;120;40;100;10;3;0;4.8;26;7.8
26 August 2023;250;120;20;50;10;3;0;4.8;26;8.4
27 August 2023;250;200;40;100;10;3;0;4.8;26;7.8
28 August 2023;100;120;20;100;10;3;0;4.8;26;8.4
29 August 2023;250;120;40;50;10;3;0;4.8;26;7.8
30 August 2023;250;120;40;100;10;3;0;4.8;26;7.8
31 August 2023;250;100;20;50;10;3;0;4.8;26;8.4
01 September 2023;250;80;40;100;10;3;0;4.8;26;7.8
02 September 2023;100;100;20;100;10;3;0;4.8;26;8.4
03 September 2023;250;120;40;100;10;3;0;4.8;26;7.8
04 September 2023;100;120;20;100;10;3;0;4.8;26;8.4
05 September 2023;250;120;40;50;10;3;0;4.8;26;7.8
06 September 2023;250;80;40;40;10;3;0;4.8;26;7.8
07 September 2023;250;120;0;25;10;3;0;4.6;27.2;7.8
08 September 2023;250;120;80;25;10;3;0;4.8;27.2;7.8
09 September 2023;500;120;40;25;10;1;0;4;27.9;7.8
10 September 2023;500;120;40;25;1;1;0;3.1;27.9;7.8
11 September 2023;250;120;40;50;1;0.5;0;4.8;27.4;7.8
12 September 2023;125;120;0;50;1;0;0;4.7;28.4;7.2
13 September 2023;250;120;20;50;1;0;0;3.9;27.3;7.8
14 September 2023;250;80;0;50;10;0;0;3.8;28.1;7.8
15 September 2023;500;120;40;25;1;0;0;3.9;27.3;7.2
16 September 2023;250;120;20;50;1;0;0;3.9;28.8;7.8
17 September 2023;250;80;20;50;;0;0;4.7;28.6;7.8
18 September 2023;500;120;0;50;1;0;0;4.8;28.2;7.2
19 September 2023;100;120;40;25;1;0.5;0;4.7;28.6;7.2
20 September 2023;250;120;0;50;1;0;0;4.9;27.4;7.8
21 September 2023;100;120;0;50;10;0;0;4.7;28.4;7.8
22 September 2023;250;120;0;50;1;0.5;0;4.7;27.6;7.2
23 September 2023;250;120;0;50;1;1;0;4.9;27.3;7.8
24 September 2023;500;120;0;50;1;0;0;4.5;27.4;7.2
25 September 2023;250;120;0;50;1;0;0;4.7;27.7;7.2
26 September 2023;250;80;0;50;1;0;0;4.9;28.3;7.2
27 September 2023;250;80;0;50;1;0;0;4.9;27.4;7.2
28 September 2023;100;120;0;25;1;0;0;4.8;27.8;7.2
29 September 2023;250;120;0;25;1;0;0;4.7;27.4;7.2
30 September 2023;250;40;0;25;13;0;0;4.8;27.7;7.2
01 October 2023;250;80;0;25;1;0;0;4.8;27.7;7.2
02 October 2023;250;80;0;25;1;0;0;4.9;27.8;7.2
03 October 2023;250;80;0;25;1;0;0;5.9;28.7;8.2
04 October 2023;250;80;0;50;1;0.5;0;4.2;28.5;7.2
05 October 2023;250;20;0;50;1;0.5;0;4.5;29.3;7.8
06 October 2023;250;120;0;50;1;0.5;0;4.8;28.4;7.8
07 October 2023;250;120;0;50;1;0.5;0;4.8;28.4;7.2
08 October 2023;250;120;0;25;1;0;0;4.9;27.9;7.8
09 October 2023;250;120;0;25;1;0.5;0;5.1;28.5;7.2
10 October 2023;250;0;0;25;1;0;0;5.1;28.5;7.2
11 October 2023;250;80;0;50;1;0.5;0;0;27.6;7.2
12 October 2023;250;40;0;25;1;0;0;4.1;28.1;7.2
13 October 2023;250;40;0;50;1;0;0;3.8;28;7.2
14 October 2023;250;0;0;50;1;0;0;4.5;27.7;7.8
15 October 2023;250;0;0;50;1;0;0;4.3;27.7;6.8
16 October 2023;250;40;0;50;1;0;0;4.3;27.7;6.8
17 October 2023;250;40;0;100;1;0;0;4.0;27.7;6.8
18 October 2023;250;0;0;50;1;0;0;3.3;27.3;6.8
19 October 2023;250;0;0;50;1;0;0;4.7;27.4;6.2
20 October 2023;250;0;0;100;1;0;0;4.4;27.9;6.2
21 October 2023;250;80;0;100;1;0;0;4.9;27.7;7.2
22 October 2023;250;80;0;50;1;0;0;4.7;27.2;7.8
23 October 2023;250;0;0;50;1;0;0;4.5;29.3;7.2
24 October 2023;250;0;0;25;1;0;0;4.4;28.3;6.2
25 October 2023;250;0;0;25;1;0;0;4.6;29.4;6.2
26 October 2023;250;180;40;25;1;1;0;4.6;28.7;7.2
27 October 2023;250;80;20;250;5;0;0;4.6;28.9;7.2
28 October 2023;250;40;20;250;5;0;0;4.6;28.9;7.2
29 October 2023;250;120;20;10;1;0;0;4.4;27.9;7.8
